,ID radar,range,bearbing,timestamp,h?p nh?t,length,lat ,lon,lat_new,lon_new,,,,,,
Radar,1005,17412.6,1.20091,61769345,1,17,,,20.76264707,106.9354113,,,,,,
Radar,1005,17413.5,1.20117,61779332,1,17,,,20.76261207,106.9354351,,,,,,
Radar,1005,17414.2,1.20096,61789351,1,2,,,20.76264497,106.9354287,,,,,,
Radar,1005,17413.5,1.20105,61799341,1,17,,,20.76262957,106.9354278,,,,,,
Radar,1005,17413,1.2011,61809346,1,7,,,20.76262065,106.9354264,,,,,,
Radar,1005,17412.6,1.20112,61819333,1,12,,,20.76261644,106.935424,,,,,,
Radar,1005,17412.4,1.20098,61829346,1,17,,,20.76263621,106.9354138,,,,,,
Radar,1005,17412.3,1.20086,61839344,1,17,,,20.76265338,106.9354056,,,,,,
Radar,1005,17412.3,1.20063,61849355,1,17,,,20.76268692,106.9353917,,,,,,
Radar,1005,17412.3,1.20059,61859368,1,2,,,20.76269276,106.9353893,,,,,,
Radar,1005,17411.3,1.20073,61869358,1,15,,,20.76266909,106.9353888,,,,,,
Radar,1005,17411.7,1.20072,61879356,1,17,,,20.76267185,106.9353918,,,,,,
Radar,1005,17412.1,1.20061,61889374,1,17,,,20.76268919,106.9353887,,,,,,
Radar,1005,17412.3,1.20052,61899370,1,17,,,20.76270296,106.9353851,,,,,,
Radar,1005,17412.5,1.20073,61909373,1,17,,,20.76267299,106.9353995,,,,,,
Radar,1005,17412.6,1.2009,61919360,1,15,,,20.76264852,106.9354107,,,,,,
Radar,1005,17412.6,1.20103,61929371,1,17,,,20.76262957,106.9354186,,,,,,
Radar,1005,17412.5,1.20097,61939376,1,12,,,20.76263799,106.9354141,,,,,,
Radar,1005,17412.4,1.20089,61949359,1,2,,,20.76264933,106.9354083,,,,,,
Radar,1005,17412.3,1.20095,61959361,1,15,,,20.76264026,106.9354111,,,,,,
Radar,1005,17412.3,1.20112,61969381,1,15,,,20.76261546,106.9354213,,,,,,
Radar,1005,17412.3,1.20098,61979381,1,15,,,20.76263588,106.9354129,,,,,,
Radar,1005,17412.3,1.20113,61989370,1,17,,,20.76261401,106.9354219,,,,,,
Radar,1005,17412.4,1.20072,61999389,1,17,,,20.76267413,106.935398,,,,,,
Radar,1005,17412.4,1.20067,62009376,1,17,,,20.76268142,106.935395,,,,,,
Radar,1005,17412.5,1.20052,62019379,1,12,,,20.76270361,106.9353868,,,,,,
Radar,1005,17412.5,1.20042,62029397,1,17,,,20.7627182,106.9353808,,,,,,
Radar,1005,17413.6,1.19997,62039387,1,15,,,20.76278739,106.9353634,,,,,,
Radar,1005,17413.3,1.19991,62049398,1,10,,,20.76279516,106.9353571,,,,,,
Radar,1005,17412.9,1.1999,62059401,1,17,,,20.76279531,106.9353529,,,,,,
Radar,1005,17412.6,1.20047,62069409,1,2,,,20.76271123,106.9353847,,,,,,
